time, MasterClock,ClkStage,Accumulator,DataAddress,DataIn,DataOut,Write,InstructionAddress,FetchNext,InstructionIn,InstructionRegister
131,1,2,0,1,1,0,0,2c,0,0,88,
132,1,0,0,1,1,0,0,2d,0,a0,0,a0,[62]:       out       # should be zero
133,1,1,0,1,1,0,0,2d,0,a0,0,
134,1,2,0,1,1,0,0,2d,0,a0,0,
135,1,0,0,1,1,0,0,2e,0,8c,a0,8c,[65]:       one
136,1,1,0,1,1,0,0,2e,0,8c,a0,
137,1,2,0,1,1,0,1,2e,0,8c,a0,
138,1,0,0,1,1,0,0,2f,0,20,8c,20,[66]:       or 0
139,1,1,0,1,1,0,0,2f,0,20,8c,
140,1,2,1,1,1,0,0,2f,0,20,8c,
141,1,0,1,1,1,0,0,30,0,a0,20,a0,[67]:       out       # 1 and 0 => 1
142,1,1,1,1,1,0,0,30,0,a0,20,
143,1,2,1,1,1,0,0,30,0,a0,20,
144,1,0,1,1,1,1,0,31,0,8c,a0,8c,[69]:       one
145,1,1,1,1,1,1,0,31,0,8c,a0,
146,1,2,1,1,1,1,1,31,0,8c,a0,
147,1,0,1,1,1,0,0,32,0,21,8c,21,[70]:       or 1
148,1,1,1,1,1,0,0,32,0,21,8c,
149,1,2,1,1,1,0,0,32,0,21,8c,
150,1,0,1,1,1,0,0,33,0,a0,21,a0,[71]:       out       # should be 1
151,1,1,1,1,1,0,0,33,0,a0,21,
152,1,2,1,1,1,0,0,33,0,a0,21,
153,1,0,1,1,1,1,0,34,0,88,a0,88,[73]:       zero
154,1,1,1,1,1,1,0,34,0,88,a0,
155,1,2,1,1,1,1,1,34,0,88,a0,
156,1,0,1,1,1,0,0,35,0,21,88,21,[74]:       or 1
157,1,1,1,1,1,0,0,35,0,21,88,
158,1,2,0,1,1,0,0,35,0,21,88,
159,1,0,0,1,1,0,0,36,0,a0,21,a0,[75]:       out       # should be 1
160,1,1,0,1,1,0,0,36,0,a0,21,
161,1,2,1,1,1,0,0,36,0,a0,21,
162,1,0,1,1,1,1,0,37,0,88,a0,88,[77]:       zero
163,1,1,1,1,1,1,0,37,0,88,a0,
164,1,2,1,1,1,1,1,37,0,88,a0,
165,1,0,1,1,1,0,0,38,0,0,88,00,[78]:       and 0
166,1,1,1,1,1,0,0,38,0,0,88,
167,1,2,0,1,1,0,0,38,0,0,88,
168,1,0,0,1,1,0,0,39,0,a0,0,a0,[79]:       out       # should be 0
169,1,1,0,1,1,0,0,39,0,a0,0,
170,1,2,0,1,1,0,0,39,0,a0,0,
171,1,0,0,1,1,0,0,3a,0,88,a0,88,[82]:       zero
172,1,1,0,1,1,0,0,3a,0,88,a0,
173,1,2,0,1,1,0,1,3a,0,88,a0,
174,1,0,0,1,1,0,0,3b,0,80,88,80,[83]:       not
175,1,1,0,1,1,0,0,3b,0,80,88,
176,1,2,0,1,1,0,0,3b,0,80,88,
177,1,0,0,1,1,0,0,3c,0,a0,80,a0,[84]:       out         # should be 1
178,1,1,0,1,1,0,0,3c,0,a0,80,
179,1,2,1,1,1,0,0,3c,0,a0,80,
180,1,0,1,1,1,1,0,3d,0,80,a0,80,[85]:       not
181,1,1,1,1,1,1,0,3d,0,80,a0,
182,1,2,1,1,1,1,1,3d,0,80,a0,
183,1,0,1,1,1,0,0,3e,0,a0,80,a0,[86]:       out         # should be 0
184,1,1,1,1,1,0,0,3e,0,a0,80,
185,1,2,0,1,1,0,0,3e,0,a0,80,
186,1,0,0,1,1,0,0,3f,0,8c,a0,8c,[90]:       one
187,1,1,0,1,1,0,0,3f,0,8c,a0,
188,1,2,0,1,1,0,1,3f,0,8c,a0,
189,1,0,0,1,1,0,0,40,0,c8,8c,c8 00,[91]:       outTo 0     # should go to 0
190,1,1,0,1,1,0,0,40,0,c8,8c,
191,1,2,1,1,1,0,0,40,0,c8,8c,
192,1,0,1,1,1,0,0,41,0,0,c8,
193,1,1,1,0,0,1,0,41,1,0,c8,
194,1,2,1,0,0,1,1,41,1,0,c8,
195,1,0,1,0,0,1,0,42,1,a0,c8,a0,[92]:       out         # should go to 0
196,1,1,1,0,0,0,0,42,0,a0,c8,
197,1,2,1,0,0,0,0,42,0,a0,c8,
198,1,0,1,0,0,1,0,43,0,a8,a0,a8,[93]:       outNext     # should go to 1
199,1,1,1,0,0,1,0,43,0,a8,a0,
200,1,2,1,0,0,1,1,43,0,a8,a0,
201,1,0,1,0,0,1,0,44,0,a8,a8,a8,[94]:       outNext     # should go to 2
202,1,1,1,1,1,1,0,44,0,a8,a8,
203,1,2,1,1,1,1,1,44,0,a8,a8,
204,1,0,1,1,1,1,0,45,0,a0,a8,a0,[95]:       out         # should go to 2
205,1,1,1,2,0,1,0,45,0,a0,a8,
